,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
8206,4116 Quitman Street,"Denver, CO 80212","Apr 13, 2019","$1,240,000","$1,237,000",Single Family Residential,2019,3584,4,5,Berkeley,Berkeley,"$2,278",Denver 1,3,3,"Full, Finished, Interior Entry, Heated, Sump Pump",,Conventional
8207,425 Wood Street,"Fort Collins, CO 80521","May 01, 2020","$1,279,500","$1,235,000",Single Family Residential,2011,5645,4,6,Capitol Hill,Capitol Hill,"$9,350",Poudre R-1,2,2,Full,,"Cash, Conventional, FHA, VA"
8208,7201 Spring Creek Circle,"Longmont, CO 80503","Apr 07, 2020","$1,275,000","$1,235,000",Single Family Residential,1995,5745,5,6,Waterford Park,Waterford Park,"$8,232",St. Vrain Valley RE-1J,3,3,Full,$300,
8209,1674 Oakpoint Way,"Castle Pines, CO 80108","Mar 22, 2021","$1,225,000","$1,235,000",Single Family Residential,2020,5642,5,5,The Canyons,The Canyons,"$3,575",Douglas RE-1,3,3,"Full, Finished, Sump Pump",$170,Seller Financing
8210,1795 Bingham Court,"Broomfield, CO 80023","Dec 28, 2020","$1,225,000","$1,235,000",Single Family Residential,2015,6009,5,5,Lambertson Farms,Lambertson Farms,,Adams 12 5 Star Schl,3,3,"Crawl Space, Partial, Sump Pump",$105,
8211,4040 Greenbriar Boulevard,"Boulder, CO 80305","Nov 30, 2020","$1,350,000","$1,235,000",Single Family Residential,1977,2804,5,3,Rolling Hills,Rolling Hills,"$7,271",Boulder Valley RE 2,2,2,Partial,,
8212,882 University Avenue,"Boulder, CO 80302","Apr 09, 2021","$1,280,000","$1,235,000",Single Family Residential,1923,1961,4,2,Buena Vista Heights,Buena Vista Heights,"$6,500",Boulder Valley RE 2,1,1,Unfinished,,
8213,2505 Blue Heron Circle,"Lafayette, CO 80026","Jul 20, 2018","$1,225,000","$1,235,000",Single Family Residential,1993,5396,5,5,Blue Heron Estates,Blue Heron Estates,"$5,792",Boulder Valley RE 2,3,3,"Full, Walk-Out Access",$397,"Cash, Conventional"
8214,435 Concord Avenue,"Boulder, CO 80304","Apr 01, 2019","$1,300,000","$1,235,000",Single Family Residential,1900,2560,5,3,Maxwells,Maxwells,"$6,668",Boulder Valley RE 2,,,"Crawl Space, Partial",,"Cash, Conventional"
8215,2414 Links Place,"Erie, CO 80516","Nov 06, 2020","$1,297,000","$1,235,000",Single Family Residential,2004,5203,4,4,Vista Ridge,Vista Ridge,"$10,823",St. Vrain Valley RE-1J,2,2,,$65,
8216,2835 Links Drive,"Boulder, CO 80301","Oct 26, 2018","$1,274,000","$1,235,000",Single Family Residential,1993,6112,5,6,Sale Lake,Sale Lake,"$6,704",Boulder Valley RE 2,3,3,Full,$500,"Cash, Conventional, FHA, VA"
8217,727 Fillmore Street,"Denver, CO 80206","Jan 20, 2021","$1,235,000","$1,235,000",Single Family Residential,1915,4406,4,3,Congress Park,Congress Park,"$5,373",Denver 1,2,2,Full,,Conventional
8218,1795 Bingham Court,"Broomfield, CO 80023","Dec 28, 2020","$1,225,000","$1,235,000",Single Family Residential,2015,6009,5,5,Lambertson Farms,Lambertson Farms,"$11,315",Adams 12 5 Star Schl,3,3,"Crawl Space, Finished, Partial, Sump Pump",$105,Cash
8219,1133 Pontiac Street,"Denver, CO 80220","Nov 20, 2020","$1,175,000","$1,235,000",Single Family Residential,1959,3577,4,4,Montclair,Montclair,"$5,256",Denver 1,2,2,"Full, Finished, Walk-Out Access",,Conventional
8220,1360 Cumulus Road,"Granby, CO 80446","Feb 08, 2021","$1,325,000","$1,235,000",Single Family Residential,2017,5144,4,3,Granby Ranch,Granby Ranch,"$7,030",East Grand 2,3,3,,$147,Conventional
8221,2414 Links Place,"Erie, CO 80516","Nov 06, 2020","$1,297,000","$1,235,000",Single Family Residential,2004,5203,4,4,Vista Ridge,Vista Ridge,"$10,823",St. Vrain Valley RE-1J,2,2,"Bath/Stubbed, Sump Pump, Walk-Out Access",$65,Conventional
8222,3301 Alcott Street,"Denver, CO 80211","Jul 29, 2020","$1,225,000","$1,235,000",Single Family Residential,2016,3324,4,4,Potter Highlands,Potter Highlands,"$5,699",Denver 1,3,3,"Full, Finished, Interior Entry",,Conventional
8223,4070 S Holly Street,"Cherry Hills Village, CO 80111","Jun 19, 2020","$1,300,000","$1,235,000",Single Family Residential,1968,4485,5,3,Southmoor Vista,Southmoor Vista,"$7,514",Cherry Creek 5,2,2,"Finished, Partial, Walk-Out Access",$100,Cash
8224,4332 Wolff Street,"Denver, CO 80212","Jun 29, 2020","$1,275,000","$1,235,000",Single Family Residential,1908,2999,4,4,Berkeley,Berkeley,"$2,159",Denver 1,2,2,"Finished, Partial",,Conventional
8225,3059 S Detroit Way,"Denver, CO 80210","Oct 27, 2020","$1,245,000","$1,235,000",Single Family Residential,1958,2903,4,4,Southern Hills,Southern Hills,"$3,847",Denver 1,3,3,Partial,,Conventional
8226,81 Falcon Hills Drive,"Highlands Ranch, CO 80126","Oct 30, 2020","$1,299,000","$1,235,000",Single Family Residential,1988,6557,6,7,Falcon Hills,Falcon Hills,"$7,320",Douglas RE-1,3,3,"Full, Finished, Walk-Out Access",$156,Conventional
8227,7201 Spring Creek Circle,"Niwot, CO 80503","Apr 07, 2020","$1,275,000","$1,235,000",Single Family Residential,1995,5745,5,5,Waterford,Waterford,"$8,232",St. Vrain Valley RE-1J,3,3,"Full, Finished",$300,Conventional
8228,7187 Timbers Drive,"Evergreen, CO 80439","Aug 08, 2018","$1,279,000","$1,235,000",Single Family Residential,1992,5275,5,6,The Timbers,The Timbers,"$9,516",Jefferson County R-1,3,3,"Crawl Space, None, Sump Pump",$100,Conventional
8229,1 Barrington Drive,"Littleton, CO 80127","Jun 21, 2018","$1,250,000","$1,235,000",Single Family Residential,1991,5382,5,5,Ken Caryl Valley,Ken Caryl Valley,"$6,399",Jefferson County R-1,3,3,"Full, Finished, Interior Entry, Sump Pump",$52,Conventional
8230,5495 S Monaco Street,"Greenwood Village, CO 80111","Jul 16, 2018","$1,250,000","$1,235,000",Single Family Residential,1973,5528,4,4,Greenwood Hills,Greenwood Hills,"$6,245",Cherry Creek 5,3,3,"Full, Finished, Interior Entry, Heated",,Conventional
8231,2505 W Blue Heron Circle,"Lafayette, CO 80026","Jul 20, 2018","$1,225,000","$1,235,000",Single Family Residential,1993,5396,5,5,Blue Heron Estates,Blue Heron Estates,"$5,792",Boulder Valley RE 2,3,3,"Exterior Entry, Full, Finished, Walk-Out Access",$397,Conventional
8232,243 S Cherry Street,"Denver, CO 80246","Dec 10, 2018","$1,299,000","$1,235,000",Single Family Residential,1954,4166,4,5,Hilltop,Hilltop,"$5,859",Denver 1,2,2,"Finished, Partial",,Conventional
8233,1001 S Downing Street,"Denver, CO 80209","Mar 16, 2020","$1,225,000","$1,235,000",Single Family Residential,1919,5120,4,3,Washington Park,Washington Park,"$5,621",Denver 1,3,3,"Daylight, Exterior Entry, Interior Entry, Partial",,Conventional
8234,10920 Capstone Court,"Highlands Ranch, CO 80126","Dec 19, 2019","$1,225,000","$1,235,000",Single Family Residential,2014,4378,4,4,Backcountry,Backcountry,"$6,710",Douglas RE-1,3,3,"Full, Finished, Walk-Out Access",$152,Cash
8235,174 S Poplar Street,"Denver, CO 80230","Nov 18, 2019","$1,285,000","$1,235,000",Single Family Residential,2008,6338,4,4,Lowry,Lowry,"$5,977",Denver 1,3,3,"Finished, Interior Entry, Partial, Bath/Stubbed, Heated",$68,Conventional
8236,27638 Misty Road,"Golden, CO 80403","Nov 15, 2019","$1,289,000","$1,235,000",Single Family Residential,1998,5491,4,5,North Ranch,North Ranch,"$5,004",Jefferson County R-1,4,4,"Full, Finished, Walk-Out Access",$900,Conventional
8237,528 Madison Street,"Denver, CO 80206","Nov 08, 2019","$1,250,000","$1,235,000",Multifamily,1993,3397,,,Cherry Creek North,Cherry Creek North,"$4,430",Denver 1,2,2,"Full, Finished, Interior Entry, Heated",,Cash
8238,9532 E Maplewood Circle,"Greenwood Village, CO 80111","Aug 12, 2019","$1,295,000","$1,235,000",Single Family Residential,1994,5497,5,4,Huntington Pines,Huntington Pines,"$5,804",Cherry Creek 5,3,3,"Full, Finished, Walk-Out Access, Heated",$142,Conventional
8239,5895 S Gilpin Court,"Greenwood Village, CO 80121","May 29, 2019","$1,185,000","$1,235,000",Single Family Residential,1995,5096,3,4,Greenwood Village,Greenwood Village,"$6,437",Littleton 6,5,5,"Exterior Entry, Full, Walk-Out Access, Heated, Sump Pump",$125,Conventional
8240,5297 S Geneva Street,"Englewood, CO 80111","Apr 26, 2019","$1,242,500","$1,235,000",Single Family Residential,1985,5091,4,5,The Hills West,The Hills West,"$6,227",Cherry Creek 5,3,3,"Interior Entry, Partial, Heated, Sump Pump",$160,Conventional
8241,2568 Medinah Drive,"Evergreen, CO 80439","Mar 13, 2019","$1,280,000","$1,235,000",Single Family Residential,2004,4295,4,4,Hiwan,Hiwan,"$6,653",Jefferson County R-1,3,3,None,$90,Cash
8242,1263 Buffalo Ridge Road,"Castle Pines, CO 80108","Nov 15, 2018","$1,250,000","$1,235,000",Single Family Residential,2005,6154,4,6,Buffalo Ridge,Buffalo Ridge,"$7,569",Douglas RE-1,4,4,"Exterior Entry, Full, Finished, Walk-Out Access",$40,Conventional
8243,2835 Links Drive,"Boulder, CO 80301","Oct 26, 2018","$1,274,000","$1,235,000",Single Family Residential,1993,6112,5,6,Sale Lake,Sale Lake,"$6,704",Boulder Valley RE 2,3,3,"Full, Finished, Interior Entry",$500,Conventional
8244,831 Silver Circle,"Breckenridge, CO 80424","Jul 23, 2018","$1,299,000","$1,235,000",Single Family Residential,1992,3574,5,4,Breckenridge,Breckenridge,"$3,088",Summit RE-1,3,3,"Full, Finished, Interior Entry",$30,Cash
8245,686 S Grant Street,"Denver, CO 80209","Jun 15, 2020","$1,250,000","$1,234,257",Single Family Residential,1890,3565,3,3,Washington Park West,Washington Park West,"$3,868",Denver 1,4,4,Partial,,Conventional
8246,3438 Bear Canyon Circle,"Sedalia, CO 80135","Jul 29, 2020","$1,290,000","$1,234,000",Single Family Residential,1992,5734,5,5,Christy Ridge,Christy Ridge,"$5,078",Douglas RE-1,9,9,"Crawl Space, Exterior Entry, Full, Finished, Walk-Out Access",,Conventional
8247,4025 E 18th Avenue,"Denver, CO 80220","Apr 19, 2021","$1,250,000","$1,233,500",Single Family Residential,1902,3848,4,4,Park Hill,Park Hill,"$6,584",Denver 1,2,2,Partial,,Conventional
8248,1516 Wazee Street Unit B,"Denver, CO 80202","Jun 17, 2019","$1,250,000","$1,233,000",Condo,1905,4109,2,2,Lower Downtown,Lower Downtown,"$7,131",Denver 1,1,1,"Full, Interior Entry, Unfinished",,Conventional
8249,617 Mapleton Avenue,"Boulder, CO 80304","Nov 23, 2020","$1,400,000","$1,232,500",Single Family Residential,1893,1879,3,1,Mapleton - Bo,Mapleton - Bo,"$6,880",Boulder Valley RE 2,1,1,Partial,,
8250,11 Wilder Lane,"Littleton, CO 80123","Apr 19, 2021","$1,231,750","$1,231,750",Single Family Residential,2019,3204,4,4,Columbine Valley,Columbine Valley,"$3,510",Littleton 6,3,3,"Full, Finished",$190,Conventional
8251,14050 Cortez Court,"Broomfield, CO 80020","Jan 12, 2021","$1,249,000","$1,231,550",Single Family Residential,1999,5168,5,4,Country Estates,Country Estates,"$5,612",Boulder Valley RE 2,3,3,"Full, Sump Pump, Walk-Out Access",,
8252,14050 Cortez Court,"Broomfield, CO 80020","Jan 12, 2021","$1,249,000","$1,231,550",Single Family Residential,1999,5164,5,4,Country Estates,Country Estates,"$5,612",Boulder Valley RE 2,3,3,"Full, Finished, Walk-Out Access, Sump Pump",,Cash
8253,7959 Eagle Ranch Road,"Fort Collins, CO 80528","Aug 14, 2020","$1,250,000","$1,231,200",Single Family Residential,1999,4996,4,5,Eagle Ranch Estates,Eagle Ranch Estates,"$7,674",Poudre R-1,3,3,Full,"$2,200","Cash, Conventional, VA"
8254,7959 Eagle Ranch Road,"Fort Collins, CO 80528","Aug 17, 2020","$1,250,000","$1,231,200",Single Family Residential,1999,4996,4,5,Eagle Ranch Estates,Eagle Ranch Estates,"$7,674",Poudre R-1,3,3,Finished,"$2,200",Cash
8255,26799 Mirage Drive,"Conifer, CO 80433","Oct 30, 2020","$1,299,000","$1,230,995",Single Family Residential,1996,4554,4,4,Rancho Mirage,Rancho Mirage,"$4,854",Jefferson County R-1,2,2,"Exterior Entry, Full, Finished, Walk-Out Access",,Conventional
8256,1122 Union Avenue,"Boulder, CO 80304","Mar 05, 2019","$1,175,000","$1,230,800",Single Family Residential,1985,1888,3,2,Graham Sub,Graham Sub,"$4,653",Boulder Valley RE 2,2,2,None,,"Cash, Conventional"
8257,772 Cypress Drive,"Boulder, CO 80303","Feb 25, 2021","$1,279,000","$1,230,000",Single Family Residential,1973,2497,4,3,Country Club Park Pt,Country Club Park Pt,"$5,252",Boulder Valley RE 2,2,2,None,,
8258,5470 E Long Place,"Centennial, CO 80122","Apr 23, 2021","$1,049,000","$1,230,000",Single Family Residential,1983,4198,4,4,Heritage Greens,Heritage Greens,"$6,040",Littleton 6,2,2,Finished,$515,Cash
8259,5092 S Allison Way,"Littleton, CO 80123","Apr 21, 2021","$1,200,000","$1,230,000",Single Family Residential,2006,4758,4,3,Villages At Raccoon Creek,Villages At Raccoon Creek,"$5,036",Jefferson County R-1,2,2,"Full, Finished, Walk-Out Access",$230,Conventional
8260,6186 Crooked Stick Drive,"Windsor, CO 80550","May 29, 2020","$1,230,000","$1,230,000",Single Family Residential,2020,4475,4,4,"Highland Meadows, Highland Meadows Golf Course","Highland Meadows, Highland Meadows Golf Course","$6,015",Thompson R2-J,3,3,"Sump Pump, Walk-Out Access",,"Cash, Conventional"
8261,6921 Springhill Drive,"Niwot, CO 80503","Aug 21, 2020","$1,295,000","$1,230,000",Single Family Residential,1987,5137,6,5,Springhill,Springhill,"$7,191",St. Vrain Valley RE-1J,3,3,Sump Pump,$625,"Cash, Conventional"
8262,7329 Island Circle,"Boulder, CO 80301","Aug 21, 2020","$1,225,000","$1,230,000",Single Family Residential,1974,4466,5,4,Island Greens,Island Greens,"$5,742",Boulder Valley RE 2,2,2,Full,,"Cash, Conventional"
8263,946 Spruce Street,"Boulder, CO 80302","Sep 08, 2020","$1,230,000","$1,230,000",Multifamily,1890,2390,,,Tourtellot & Squires,Tourtellot & Squires,,Boulder Valley RE 2,,,"Crawl Space, Partial, Unfinished",,"Cash, Conventional, Item1031Exchange"
8264,116 Krameria Street,"Denver, CO 80220","Apr 02, 2021","$1,189,000","$1,230,000",Single Family Residential,1954,3330,3,4,Crestmoor Park,Crestmoor Park,"$5,257",Denver 1,2,2,Partial,$125,Cash
8265,14320 Santa Fe Street,"Broomfield, CO 80023","Mar 12, 2021","$1,250,000","$1,230,000",Single Family Residential,2008,6434,4,2,Huntington Trails Estates,Huntington Trails Estates,"$8,675",Adams 12 5 Star Schl,3,3,"Finished, Sump Pump","$1,512",Conventional
8266,933 Cherryvale Road,"Boulder, CO 80303","Mar 16, 2021","$1,275,000","$1,230,000",Single Family Residential,1955,3762,3,3,Gapter,Gapter,"$4,893",Boulder Valley RE 2,2,2,Crawl Space,,Conventional
8267,933 Cherryvale Road,"Boulder, CO 80303","Mar 16, 2021","$1,275,000","$1,230,000",Single Family Residential,1955,1562,3,2,Gapter,Gapter,"$4,893",Boulder Valley RE 2,2,2,"Crawl Space, None, Sump Pump",,
8268,1450 Deer Path Court,"Estes Park, CO 80517","Oct 29, 2020","$1,250,000","$1,230,000",Single Family Residential,2003,5963,4,5,Reserve 2nd,Reserve 2nd,,Estes Park R-3,2,2,None,$300,
8269,7526 Spring Drive,"Boulder, CO 80303","Jun 28, 2019","$1,250,000","$1,230,000",Single Family Residential,1972,3437,5,2,Panorama Park,Panorama Park,"$7,042",Boulder Valley RE 2,3,3,Partial,,"Cash, Conventional"
8270,772 Cypress Drive,"Boulder, CO 80303","Feb 25, 2021","$1,275,000","$1,230,000",Single Family Residential,1973,2497,4,3,Country Club Park Pt,Country Club Park Pt,"$5,252",Boulder Valley RE 2,2,2,None,,
8271,4325 E 6th Parkway,"Denver, CO 80220","Aug 20, 2018","$1,265,000","$1,230,000",Single Family Residential,1936,3858,4,4,Hilltop,Hilltop,"$4,805",Denver 1,2,2,Partial,,"Cash, Conventional"
8272,1916 Taft Avenue,"Loveland, CO 80538","May 29, 2019","$1,295,000","$1,230,000",Single Family Residential,1978,3808,4,4,West Shore Terrace,West Shore Terrace,"$4,875",Thompson R2-J,2,2,"Full, Walk-Out Access",,"Cash, Conventional"
8273,832 N Lafayette Street,"Denver, CO 80218","Dec 22, 2020","$1,225,000","$1,230,000",Single Family Residential,1908,3941,5,5,Cheesman Park,Cheesman Park,"$5,959",Denver 1,3,3,"Finished, Partial",,Other
8274,914 Parkcliff Lane,"Castle Pines, CO 80108","Oct 23, 2020","$1,189,000","$1,230,000",Single Family Residential,2001,5388,7,5,Castle Pines North,Castle Pines North,"$6,096",Douglas RE-1,3,3,"Full, Finished, Walk-Out Access",$286,Conventional
8275,9784 Sun Country Drive,"Elizabeth, CO 80107","Feb 19, 2021","$1,399,000","$1,230,000",Single Family Residential,2000,6154,5,5,Conestoga Ranches,Conestoga Ranches,"$4,863",Elizabeth C-1,26,26,"Exterior Entry, Full, Finished, Walk-Out Access",$400,Cash
8276,1196 Lost Elk Loop,"Castle Rock, CO 80108","Nov 12, 2020","$1,250,000","$1,230,000",Single Family Residential,2020,5032,4,4,Castle Pines Village,Castle Pines Village,"$3,864",Douglas RE-1,3,3,"Full, Finished, Walk-Out Access",$225,Cash
8277,2360 Oak Vista Court,"Castle Rock, CO 80104","Nov 12, 2020","$1,275,000","$1,230,000",Single Family Residential,2004,6366,6,5,Escavara,Escavara,"$6,522",Douglas RE-1,3,3,"Exterior Entry, Full, Finished, Bath/Stubbed, Walk-Out Access",$70,Conventional
8278,7964 Kelty Trail,"Franktown, CO 80116","Oct 30, 2020","$1,265,000","$1,230,000",Single Family Residential,2001,7447,5,5,Marija,Marija,"$5,144",Douglas RE-1,3,3,"Daylight, Finished, Partial",$45,Conventional
8279,7329 Island Circle,"Boulder, CO 80301","Aug 21, 2020","$1,225,000","$1,230,000",Single Family Residential,1974,4466,5,4,Island Greens,Island Greens,"$5,742",Boulder Valley RE 2,2,2,"Finished, Walk-Out Access",,Cash
8280,4015 Alcott Street,"Denver, CO 80211","Oct 23, 2020","$1,260,000","$1,230,000",Single Family Residential,2008,3480,5,4,Sunnyside,Sunnyside,"$5,364",Denver 1,3,3,"Full, Finished, Bath/Stubbed, Sump Pump",,Other
8281,155 Steele Street Unit 613,"Denver, CO 80206","Aug 14, 2020","$1,220,000","$1,230,000",Condo,2017,1333,2,2,Cherry Creek North,Cherry Creek North,"$4,264",Denver 1,,,,$718,Cash
8282,5033 Utica Street,"Denver, CO 80212","Sep 08, 2020","$1,290,000","$1,230,000",Single Family Residential,2016,4076,4,4,Berkeley,Berkeley,"$5,692",Denver 1,3,3,"Full, Finished, Walk-Out Access",$150,Other
8283,2249 Anglers Drive,"Steamboat Springs, CO 80487","Aug 06, 2020","$1,295,000","$1,230,000",Single Family Residential,1970,3876,4,3,Fish Creek Meadows,Fish Creek Meadows,"$3,966",Steamboat Springs RE-2,2,2,"Full, Finished, Walk-Out Access",$250,Conventional
8284,3609 Lipan Street,"Denver, CO 80211","Sep 14, 2020","$1,250,000","$1,230,000",Single Family Residential,2016,2894,4,4,Lohi,Lohi,"$4,940",Denver 1,2,2,Crawl Space,,Conventional
8285,3221 S Monroe Street,"Denver, CO 80210","Jun 12, 2020","$1,398,000","$1,230,000",Single Family Residential,1963,4835,5,5,Cherry Hills Heights,Cherry Hills Heights,"$4,530",Denver 1,2,2,"Daylight, Finished",,Conventional
8286,2719 N Cook Street,"Denver, CO 80205","Dec 30, 2020","$1,200,000","$1,230,000",Single Family Residential,2020,3500,4,5,Walnut Hill,Walnut Hill,"$1,595",Denver 1,3,3,None,,VA
8287,1175 Lost Elk Circle,"Castle Rock, CO 80108","Mar 26, 2020","$1,293,000","$1,230,000",Single Family Residential,2020,5032,4,4,Castle Pines Village,Castle Pines Village,"$2,608",Douglas RE-1,3,3,"Full, Finished, Sump Pump",$225,Cash
8288,656 Hamilton Lane,"Breckenridge, CO 80424","Oct 31, 2018","$1,300,000","$1,230,000",Single Family Residential,2003,4233,4,4,Quandry Village,Quandry Village,"$3,549",Summit RE-1,2,2,"Full, Finished, Heated",$550,Conventional
8289,3053 S University Circle,"Englewood, CO 80113","Jan 24, 2020","$1,350,000","$1,230,000",Single Family Residential,2018,4143,4,4,Englewood,Englewood,$983,Cherry Creek 5,2,2,"Full, Finished, Interior Entry, Heated, Sump Pump",$80,Conventional
8290,6953 Secrest Court,"Arvada, CO 80007","May 24, 2019","$1,250,000","$1,230,000",Single Family Residential,2002,6153,5,5,West Woods Ranch,West Woods Ranch,"$6,691",Jefferson County R-1,3,3,"Full, Finished, Walk-Out Access, Sump Pump",$169,Cash
8291,3331 Osage Street,"Denver, CO 80211","Jan 08, 2020","$1,250,000","$1,230,000",Multifamily,2013,3286,,,Lohi,Lohi,"$4,922",Denver 1,2,2,"Full, Finished, Interior Entry, Heated",,Conventional
8292,11542 Belle Meade Drive,"Conifer, CO 80433","Sep 18, 2019","$1,300,000","$1,230,000",Single Family Residential,2001,7225,5,7,Belle Meade - Evergreen Suburb,Belle Meade - Evergreen Suburb,"$5,290",Jefferson County R-1,3,3,"Exterior Entry, Full, Finished, Walk-Out Access, Heated",$100,Cash
8293,6540 Crestbrook Drive,"Morrison, CO 80465","Sep 09, 2019","$1,280,000","$1,230,000",Single Family Residential,1979,4272,3,4,Willowbrook,Willowbrook,"$6,163",Jefferson County R-1,2,2,"Exterior Entry, Finished, Partial, Walk-Out Access",$350,Cash
8294,1025 Wildcrest Point,"Highlands Ranch, CO 80126","Aug 23, 2019","$1,230,000","$1,230,000",Single Family Residential,2016,4918,4,4,Backcountry,Backcountry,"$6,501",Douglas RE-1,3,3,"Crawl Space, Finished, Partial, Walk-Out Access",$154,Cash
8295,1155 Grape Street,"Denver, CO 80220","Aug 22, 2019","$1,250,000","$1,230,000",Single Family Residential,2015,3034,5,5,Mayfair,Mayfair,"$5,221",Denver 1,2,2,None,,Conventional
8296,10786 Manorstone Drive,"Highlands Ranch, CO 80126","Jun 10, 2019","$1,230,000","$1,230,000",Single Family Residential,2014,5219,5,6,Backcountry,Backcountry,"$5,654",Douglas RE-1,4,4,"Exterior Entry, Full, Finished, Walk-Out Access, Heated, Sump Pump",$265,Conventional
8297,1916 Taft Avenue,"Loveland, CO 80538","May 29, 2019","$1,295,000","$1,230,000",Single Family Residential,1978,3808,4,4,West Shore Terrace,West Shore Terrace,"$4,872",Thompson R2-J,2,2,"Full, Finished, Walk-Out Access",,Conventional
8298,5411 Sunstone Lane,"Castle Rock, CO 80108","May 31, 2019","$1,239,000","$1,230,000",Single Family Residential,1999,7129,5,6,Diamond Ridge Estates,Diamond Ridge Estates,"$4,751",Douglas RE-1,3,3,"Daylight, Full, Finished, Interior Entry, Heated",$365,Conventional
8299,10111 Bellwether Lane,"Lone Tree, CO 80124","Feb 25, 2019","$1,240,000","$1,230,000",Single Family Residential,2018,3221,3,4,Lone Tree,Lone Tree,"$2,940",Douglas RE-1,2,2,"Exterior Entry, Finished, Interior Entry, Partial, Walk-Out Access",$140,Conventional
8300,3 Killdeer Lane,"Littleton, CO 80127","Oct 16, 2018","$1,250,000","$1,230,000",Single Family Residential,1988,4679,5,5,North Ranch At Ken Caryl,North Ranch At Ken Caryl,"$6,087",Jefferson County R-1,3,3,"Exterior Entry, Finished, Interior Entry, Partial, Walk-Out Access",$52,Conventional
8301,1117 S Clarkson Street,"Denver, CO 80210","Jun 18, 2018","$1,295,000","$1,230,000",Single Family Residential,1909,5480,5,4,Washington Park,Washington Park,"$6,341",Denver 1,2,2,"Full, Finished, Interior Entry, Heated",,Conventional
8302,4325 E 6th Parkway,"Denver, CO 80220","Aug 20, 2018","$1,265,000","$1,230,000",Single Family Residential,1936,3858,4,4,Denver,Denver,"$4,805",Denver 1,2,2,"Finished, Partial",,Conventional
8303,0083 Sherwood Trail,"Breckenridge, CO 80424","Mar 06, 2020","$1,259,000","$1,229,500",Single Family Residential,1983,3232,3,5,Breckenridge,Breckenridge,"$2,769",Summit RE-1,2,2,"Exterior Entry, Finished, Walk-Out Access",,Other
8304,5392 S Geneva Way,"Englewood, CO 80111","Jul 31, 2020","$1,254,000","$1,229,100",Single Family Residential,1987,5019,4,4,The Hills At Cherry Creek West,The Hills At Cherry Creek West,"$6,366",Cherry Creek 5,3,3,Crawl Space,$160,Cash
8305,2030 Columbine Avenue,"Boulder, CO 80302","Nov 10, 2020","$1,295,000","$1,229,000",Single Family Residential,1950,2641,4,3,Interurban Park,Interurban Park,"$7,351",Boulder Valley RE 2,1,1,"Crawl Space, Partial",,
8306,2030 Columbine Avenue,"Boulder, CO 80302","Nov 10, 2020","$1,295,000","$1,229,000",Single Family Residential,1950,2641,4,3,Interurban Park,Interurban Park,"$7,351",Boulder Valley RE 2,1,1,"Crawl Space, Finished, Interior Entry, Partial",,Conventional
8307,8 Mountain High Court,"Littleton, CO 80127","Apr 22, 2020","$1,229,000","$1,229,000",Single Family Residential,1995,5450,6,5,Ken Caryl Ranch The Valley,Ken Caryl Ranch The Valley,"$5,686",Jefferson County R-1,3,3,"Full, Walk-Out Access",$56,Conventional
8308,5694 Euclid Place,"Boulder, CO 80303","Mar 20, 2020","$1,275,000","$1,228,540",Single Family Residential,1991,3528,4,4,Country Meadows,Country Meadows,"$6,007",Boulder Valley RE 2,3,3,Full,$152,"Cash, Conventional, FHA, VA"
8309,12832 W 80th Place,"Arvada, CO 80005","Apr 15, 2021","$1,100,000","$1,228,000",Single Family Residential,2007,6658,5,7,Alkire Estates,Alkire Estates,"$6,265",Jefferson County R-1,4,4,"Full, Finished, Sump Pump",$150,Conventional
8310,3346 Stuart Street,"Denver, CO 80212","Apr 05, 2019","$1,225,000","$1,228,000",Single Family Residential,1886,4467,5,5,West Highland,West Highland,"$2,170",Denver 1,2,2,"Full, Finished, Interior Entry",,Conventional
8311,1281 S High Street,"Denver, CO 80210","Jun 29, 2018","$1,235,000","$1,228,000",Single Family Residential,1918,3514,5,3,Washington Park,Washington Park,"$5,885",Denver 1,1,1,"Full, Finished, Heated",,Conventional
8312,10760 Bluffside Drive,"Lone Tree, CO 80124","May 28, 2020","$1,299,990","$1,227,927",Single Family Residential,2020,6288,4,4,Ridgegate,Ridgegate,"$5,304",Douglas RE-1,3,3,"Full, Unfinished, Walk-Out Access, Sump Pump",$226,Other
8313,8892 E 53rd Avenue,"Denver, CO 80238","Jul 20, 2020","$1,279,900","$1,227,000",Single Family Residential,2016,5880,5,5,Northfield,Northfield,"$11,581",Denver 1,3,3,"Full, Interior Entry, Unfinished",$43,Conventional
8314,155 Steele Street Unit 813,"Denver, CO 80206","Apr 23, 2019","$1,225,000","$1,226,850",Condo,2018,1333,,,Laurel,Laurel,$1,Denver 1,,,,$643,Cash
8315,355 Casalon Place,"Superior, CO 80027","Jun 17, 2019","$1,127,414","$1,225,762",Single Family Residential,2019,4280,3,4,Calmante,Calmante,,Boulder Valley RE 2,3,3,"Crawl Space, Sump Pump",$310,"Cash, Conventional, Item1031Exchange, FHA, VA"
8316,355 Casalon Place,"Superior, CO 80027","Jun 17, 2019","$1,127,414","$1,225,762",Single Family Residential,2019,4280,3,4,Superior,Superior,,Boulder Valley RE 2,3,3,"Full, Finished, Walk-Out Access, Sump Pump",$310,Conventional
